ID,Path,Line,msg2,Need_To_Fix
1,dali-adaptor/adaptors/base/performance-logging/networking/network-performance-protocol.cpp,103,lengthInBytes,1
2,dali-adaptor/adaptors/common/system-trace.cpp,37,tag,1
3,dali-adaptor/adaptors/common/system-trace.cpp,41,tag,1
4,dali-adaptor/adaptors/common/system-trace.cpp,45,tag,1
31,dali-adaptor/automated-tests/src/dali-adaptor-internal/image-loaders.cpp,92,bitmapProfile,1
32,dali-adaptor/automated-tests/src/dali-adaptor-internal/utc-Dali-TiltSensor.cpp,83,in,1
33,dali-adaptor/automated-tests/src/dali-adaptor-internal/utc-Dali-TiltSensor.cpp,94,timer,1
34,dali-adaptor/automated-tests/src/dali-adaptor/dali-test-suite-utils/dali-test-suite-utils.cpp,240,location,1
35,dali-adaptor/automated-tests/src/dali-adaptor/utc-Dali-Timer.cpp,49,in,1
36,dali-adaptor/automated-tests/src/dali-adaptor/utc-Dali-Timer.cpp,60,timer,1
37,dali-adaptor/automated-tests/src/dali-adaptor/utc-Dali-Window.cpp,51,screen,1
38,dali-adaptor/automated-tests/src/dali-adaptor/utc-Dali-Window.cpp,57,parent,1
39,dali-adaptor/automated-tests/src/dali-adaptor/utc-Dali-Window.cpp,57,w,1
40,dali-adaptor/automated-tests/src/dali-adaptor/utc-Dali-Window.cpp,57,x,1
41,dali-adaptor/automated-tests/src/dali-adaptor/utc-Dali-Window.cpp,57,h,1
42,dali-adaptor/automated-tests/src/dali-adaptor/utc-Dali-Window.cpp,57,y,1
43,dali-adaptor/automated-tests/src/dali-platform-abstraction/utc-image-loading-common.cpp,20,abstraction,1
44,dali-adaptor/platform-abstractions/tizen/image-loaders/loader-bmp.cpp,131,width,1
45,dali-adaptor/platform-abstractions/tizen/image-loaders/loader-bmp.cpp,198,width,1
46,dali-adaptor/platform-abstractions/tizen/image-loaders/loader-bmp.cpp,265,width,1
47,dali-adaptor/platform-abstractions/tizen/image-loaders/loader-bmp.cpp,767,topDown,1
48,dali-adaptor/platform-abstractions/tizen/image-loaders/loader-bmp.cpp,935,topDown,1
51,dali-adaptor/text/dali/internal/glyphy/glyphy-blob-impl.cc,168,avg_fetch_desired,1
52,dali-adaptor/text/dali/internal/glyphy/glyphy-sdf.cc,32,closest_p,1
53,dali-core/automated-tests/src/dali/dali-test-suite-utils/dali-test-suite-utils.cpp,240,location,1
93,dali-core/dali/internal/update/manager/render-task-processor.cpp,208,rootNode,1
177,dali-toolkit/plugins/dali-script-v8/src/utils/v8-utils.cpp,587,isolate,1
178,dali-toolkit/plugins/dali-script-v8/src/utils/v8-utils.cpp,606,isolate,1
179,dali-toolkit/plugins/dali-script-v8/src/utils/v8-utils.cpp,625,isolate,1
180,dali-toolkit/plugins/dali-script-v8/src/utils/v8-utils.cpp,667,isolate,1
8,apps/examples/testcase/le_tc/network/tc_net_accept.c,101,fd,1
11,apps/examples/testcase/le_tc/network/tc_net_getpeername.c,209,fd,1
